ve_ref,token_w_punct,token,lemma,syntax,modern_english,morphology
413.t5,ǣfenlēoht,ǣfenlēoht,æfen-leoht,n,evening light,ns
414.t1,under,under,under,pp,under,indeclinable
414.t2,heofenes,heofenes,heofon,m,heaven,gs
414.t3,haðor,haðor,haðor,n,vault,as
414.t4,beholen,beholen,behelan,v,hide,pp
414.t5,weorþeð.,weorþeð,weorðan,v,be,pr3s
415.t1,Þā,Þā,þa,av,then,indeclinable
415.t2,mē,mē,ic,p,I,as
415.t3,þæt,þæt,þæt,d,that,asn
415.t4,gelǣrdon,gelǣrdon,gelæran,v,advise,p3p
415.t5,lēode,lēode,leod,m,man,np
415.t6,mīne,mīne,min,p,my,npm
416.t1,þā,þā,se,d,the,npm
416.t2,"sēlestan,",sēlestan,selest,a,best,npms
416.t3,snotere,snotere,snotor,a,wise,npm
416.t4,"ceorlas,",ceorlas,ceorl,m,man,np
417.t1,þēoden,þēoden,þeoden,m,lord,ns
417.t2,"Hrōðgār,",Hrōðgār,Hroðgar,np,Hrothgar,ns
417.t3,þæt,þæt,þæt,c,that,indeclinable
417.t4,ic,ic,ic,p,I,ns
417.t5,þē,þē,þu,p,you,as
417.t6,"sōhte,",sōhte,secan,v,seek out,pc1s
418.t1,forþan,forþan,forðan,c,because,indeclinable
418.t2,hīe,hīe,hie,p,they,npm
418.t3,mægenes,mægenes,mægen,n,strength,gs
418.t4,cræft,cræft,cræft,m,might,as
418.t5,mīnne,mīnne,min,p,my,asm
418.t6,cūþon;,cūþon,cunnan,v,know,p3p
419.t1,selfe,selfe,self,p,(they) self,np
419.t2,ofersāwon,ofersāwon,oferseon,v,look on,p3p
419.t3,ðā,ðā,þa,c,when,indeclinable
419.t4,ic,ic,ic,p,I,ns
419.t5,of,of,of,pp,from,indeclinable
419.t6,searwum,searwum,searo,n,battle,dp
419.t7,cwōm,cwōm,cuman,v,come,p1s
420.t1,fāh,fāh,fah,a,blood-stained,nsm
420.t2,from,from,fram,pp,from,indeclinable
420.t3,"fēondum,",fēondum,feond,m,enemy,dp
420.t4,þǣr,þǣr,þær,c,where,indeclinable
420.t5,ic,ic,ic,p,I,ns
420.t6,fīfe,fīfe,fif,nu,five,apm
420.t7,"geband,",geband,gebindan,v,bind,p1s
421.t1,ȳðde,ȳðde,yðan,v,destroy,p1s
421.t2,eotena,eotena,eoten,m,giant,gp
421.t3,"cyn,",cyn,cynn,n,race,as
421.t4,ond,ond,ond,c,and,indeclinable
421.t5,on,on,on,pp,on,indeclinable
421.t6,ȳðum,ȳðum,yð,f,wave,dp
421.t7,slōg,slōg,slean,v,strike,p1s
422.t1,niceras,niceras,nicor,m,water-monster,ap
422.t2,"nihtes,",nihtes,niht,f,(by) night,gs
422.t3,nearoþearfe,nearoþearfe,nearo-þearf,f,severe distress,as
422.t4,"drēah,",drēah,dreogan,v,suffer,p1s
423.t1,wræc,wræc,wrecan,v,avenge,p1s
423.t2,Wedera,Wedera,Wederas,np,Weders,gp
423.t3,nīð,nīð,nið,m,affliction,as
423.t4,– wēan,wēan,wea,m,trouble,as
423.t5,āhsodon –,āhsodon,ahsian,v,ask for,p3p
424.t1,forgrand,forgrand,forgrindan,v,crush,p1s
424.t2,gramum;,gramum,gram,a,enemy,dpm
424.t3,ond,ond,ond,c,and,indeclinable
424.t4,nū,nū,nu,av,now,indeclinable
424.t5,wið,wið,wið,pp,with,indeclinable
424.t6,Grendel,Grendel,Grendel,np,Grendel,as
424.t7,"sceal,",sceal,sculan,v,(future),pr1s
425.t1,wið,wið,wið,pp,with,indeclinable
425.t2,þām,þām,se,d,the,dsm
425.t3,āglǣcan,āglǣcan,aglæca,m,adversary,ds
425.t4,āna,āna,an,a,myself,nsm
425.t5,gehēgan,gehēgan,gehegan,v,hold,i
426.t1,ðing,ðing,þing,n,meeting,as
426.t2,wið,wið,wið,pp,with,indeclinable
426.t3,þyrse.,þyrse,þyrs,m,giant,ds
426.t4,Ic,Ic,ic,p,I,ns
426.t5,þē,þē,þu,p,you,as
426.t6,"nūðā,",nūðā,nu þa,av,now,indeclinable
427.t1,brego,brego,brego,m,lord,ns
427.t2,"Beorht-Dena,",Beorht-Dena,Beorht-Dene,np,Bright-Danes,gp
427.t3,biddan,biddan,biddan,v,request,i
427.t4,"wille,",wille,willan,v,wish,pr1s
428.t1,eodor,eodor,eodor,m,protector,ns
428.t2,"Scyldinga,",Scyldinga,Scyldingas,np,Scyldings,gp
428.t3,ānre,ānre,an,a,one,gsf
428.t4,"bēne,",bēne,ben,f,favour,gs
429.t1,þæt,þæt,þæt,c,that,indeclinable
429.t2,ðū,ðū,þu,p,you,ns
429.t3,mē,mē,ic,p,I,ds
429.t4,ne,ne,ne,av,not,indeclinable
429.t5,"forwyrne,",forwyrne,forwyrnan,v,refuse,prc2s
429.t6,wīgendra,wīgendra,wigend,m,warrior,gp
429.t7,"hlēo,",hlēo,hleo,m,protection,ns
430.t1,frēowine,frēowine,freo-wine,m,noble friend,ns
430.t2,"folca,",folca,folc,n,people,gp
430.t3,nū,nū,nu,c,now that,indeclinable
430.t4,ic,ic,ic,p,I,ns
430.t5,þus,þus,þus,av,thus,indeclinable
430.t6,feorran,feorran,feorran,av,from afar,indeclinable
430.t7,"cōm,",cōm,cuman,v,come,p1s
431.t1,þæt,þæt,þæt,c,that,indeclinable
431.t2,ic,ic,ic,p,I,ns
431.t3,mōte,mōte,motan,v,may,prc1s
431.t4,"āna,",āna,an,a,myself,nsm
431.t5,mīnra,mīnra,min,p,my,gpm
431.t6,eorla,eorla,eorl,m,warrior,gp
431.t7,"gedryht,",gedryht,gedryht,f,retinue,ns
432.t1,ond,ond,ond,c,and,indeclinable
432.t2,þes,þes,þes,d,this,nsm
432.t3,hearda,hearda,heard,a,strong,nsm
432.t4,"hēap,",hēap,heap,m,troop,ns
432.t5,Heorot,Heorot,Heorot,np,Heorot,as
432.t6,fǣlsian.,fǣlsian,fælsian,v,purify,i
433.t1,Hǣbbe,Hǣbbe,habban,v,have,pr1s
433.t2,ic,ic,ic,p,I,ns
433.t3,ēac,ēac,eac,av,also,indeclinable
433.t4,geāhsod,geāhsod,geahsian,v,learn,pp
433.t5,þæt,þæt,þæt,c,that,indeclinable
433.t6,se,se,se,d,the,nsm
433.t7,ǣglǣca,ǣglǣca,aglæca,m,adversary,ns
434.t1,for,for,for,pp,for,indeclinable
434.t2,his,his,he,p,his,gsm
434.t3,wonhȳdum,wonhȳdum,wan-hygd,f,recklessness,dp
434.t4,wǣpna,wǣpna,wæpen,n,weapon,gp
434.t5,ne,ne,ne,av,not,indeclinable
434.t6,recceð;,recceð,reccan,v,care for,pr3s
435.t1,ic,ic,ic,p,I,ns
435.t2,þæt,þæt,þæt,d,that,asn
435.t3,þonne,þonne,þonne,av,then,indeclinable
435.t4,"forhicge,",forhicge,forhycgan,v,disdain,pr1s
435.t5,swā,swā,swa,c,so,indeclinable
435.t6,mē,mē,ic,p,I,ds
435.t7,Higelāc,Higelāc,Hygelac,np,Hygelac,ns
435.t8,"sīe,",sīe,beon,v,be,prc3s
436.t1,mīn,mīn,min,p,my,nsm
436.t2,mondrihten,mondrihten,monn-dryhten,m,lord,ns
436.t3,mōdes,mōdes,mod,n,mind,gs
436.t4,"blīðe,",blīðe,bliðe,a,kind,nsm
437.t1,þæt,þæt,þæt,c,that,indeclinable
437.t2,ic,ic,ic,p,I,ns
437.t3,sweord,sweord,sweord,n,sword,as
437.t4,bere,bere,beran,v,bear,prc1s
437.t5,oþðe,oþðe,oððe,c,or,indeclinable
437.t6,sīdne,sīdne,sid,a,broad,asm
437.t7,"scyld,",scyld,scyld,m,shield,as
438.t1,geolorand,geolorand,geolo-rand,m,yellow shield,as
438.t2,tō,tō,to,pp,into,indeclinable
438.t3,"gūþe,",gūþe,guð,f,battle,ds
438.t4,ac,ac,ac,c,but,indeclinable
438.t5,ic,ic,ic,p,I,ns
438.t6,mid,mid,mid,pp,with,indeclinable
438.t7,grāpe,grāpe,grap,f,grip,ds
438.t8,sceal,sceal,sculan,v,(future),pr1s
439.t1,fōn,fōn,fon,v,grapple,i
439.t2,wið,wið,wið,pp,with,indeclinable
439.t3,fēonde,fēonde,feond,m,enemy,ds
439.t4,ond,ond,ond,c,and,indeclinable
439.t5,ymb,ymb,ymb,pp,for,indeclinable
439.t6,feorh,feorh,feorh,m,life,as
439.t7,"sacan,",sacan,sacan,v,fight,i
440.t1,lāð,lāð,lað,a,enemy,nsm
440.t2,wið,wið,wið,pp,against,indeclinable
440.t3,lāþum;,lāþum,lað,a,enemy,dsm
440.t4,ðǣr,ðǣr,þær,av,there,indeclinable
440.t5,gelȳfan,gelȳfan,gelyfan,v,trust in,i
440.t6,sceal,sceal,sculan,v,shall,pr3s
441.t1,dryhtnes,dryhtnes,dryhten,m,lord,gs
441.t2,dōme,dōme,dom,m,judgement,ds
441.t3,sē,sē,se,d,he,nsm
441.t4,þe,þe,þe,r,who,in
441.t5,hine,hine,he,p,he (þe hine=whom),asm
441.t6,dēað,dēað,deað,m,death,ns
441.t7,nimeð.,nimeð,niman,v,take,pr3s
442.t1,Wēn’,Wēn’,wenan,v,expect,pr1s
442.t2,iċ,iċ,ic,p,I,ns
442.t3,þæt,þæt,þæt,c,that,indeclinable
442.t4,hē,hē,he,p,he,nsm
442.t5,"wille,",wille,willan,v,will,pr3s
442.t6,gif,gif,gif,c,if,indeclinable
442.t7,hē,hē,he,p,he,nsm
442.t8,wealdan,wealdan,wealdan,v,prevail,i
442.t9,"mōt,",mōt,motan,v,may,pr3s
443.t1,in,in,in,pp,in,indeclinable
443.t2,þǣm,þǣm,se,d,the,dsm
443.t3,gūðsele,gūðsele,guð-sele,m,war-hall,ds
443.t4,Ġēatena,Ġēatena,Geatas,np,Geats,gp
443.t5,lēode,lēode,leod,m,man,ap
444.t1,etan,etan,etan,v,eat,i
444.t2,"unforhte,",unforhte,unforhte,av,fearlessly,indeclinable
444.t3,swā,swā,swa,c,as,indeclinable
444.t4,hē,hē,he,p,he,nsm
444.t5,oft,oft,oft,av,often,indeclinable
444.t6,dyde,dyde,don,v,do,p3s
445.t1,mægenhrēð,mægenhrēð,mægen-hreð,n,glorious host,as
445.t2,manna.,manna,monn,m,man,gp
445.t3,Nā,Nā,no,av,not at all,indeclinable
445.t4,þū,þū,þu,p,you,ns
445.t5,mīnne,mīnne,min,p,my,asm
445.t6,þearft,þearft,þurfan,v,need,pr2s
446.t1,hafalan,hafalan,hafela,m,head,as
446.t2,"hȳdan,",hȳdan,hydan,v,cover,i
446.t3,ac,ac,ac,c,but,indeclinable
446.t4,hē,hē,he,p,he,nsm
446.t5,mē,mē,ic,p,I,as
446.t6,habban,habban,habban,v,have,i
446.t7,wile,wile,willan,v,will,pr3s
447.t1,drēore,drēore,dreor,m,blood,ds
447.t2,"fāhne,",fāhne,fah,a,stained,asm
447.t3,gif,gif,gif,c,if,indeclinable
447.t4,mec,mec,ic,p,I,as
447.t5,dēað,dēað,deað,m,death,ns
447.t6,nimeð:,nimeð,niman,v,take,pr3s
448.t1,byreð,byreð,beran,v,carry away,pr3s
448.t2,blōdig,blōdig,blodig,a,bloody,asn
448.t3,"wæl,",wæl,wæl,n,corpse,as
448.t4,byrgean,byrgean,byrgian,v,taste,i
448.t5,"þenceð,",þenceð,þencan,v,intend,pr3s
449.t1,eteð,eteð,etan,v,eat,pr3s
449.t2,āngenga,āngenga,an-genga,m,lone prowler,ns
449.t3,"unmurnlīce,",unmurnlīce,unmurnlice,av,ruthlessly,indeclinable
450.t1,mearcað,mearcað,mearcian,v,mark,pr3s
450.t2,mōrhopu –,mōrhopu,mor-hop,n,moor-retreat,ap
450.t3,nō,nō,no,av,not at all,indeclinable
450.t4,ðū,ðū,þu,p,you,ns
450.t5,ymb,ymb,ymb,pp,about,indeclinable
450.t6,mīnes,mīnes,min,p,my,gsn
450.t7,ne,ne,ne,av,not,indeclinable
450.t8,þearft,þearft,þurfan,v,need,pr2s
451.t1,līces,līces,lic,n,body,gs
451.t2,feorme,feorme,feorm,f,sustenance,as
451.t3,leng,leng,longe,av,longer,c
451.t4,sorgian.,sorgian,sorgian,v,care,i
452.t1,Onsend,Onsend,onsendan,v,send,im2s
452.t2,"Higelāce,",Higelāce,Hygelac,np,Hygelac,ds
452.t3,gif,gif,gif,c,if,indeclinable
452.t4,mec,mec,ic,p,I,as
452.t5,hild,hild,hild,f,war,ns
452.t6,"nime,",nime,niman,v,take,prc3s
453.t1,beaduscrūda,beaduscrūda,beadu-scrud,n,battle-dress,gp
453.t2,betst,betst,betst,a,best,asns
453.t3,þæt,þæt,þæt,d,which,nsn
453.t4,mīne,mīne,min,p,my,asf
453.t5,brēost,brēost,breost,f,breast,as
453.t6,"wereð,",wereð,werian,v,protect,pr3s
454.t1,hrægla,hrægla,hrægl,n,garment,gp
454.t2,sēlest;,sēlest,selest,a,best,asns
454.t3,þæt,þæt,þæt,d,that,nsn
454.t4,is,is,beon,v,be,pr3s
454.t5,Hrǣdlan,Hrǣdlan,Hreþel,np,Hrethel,gs
454.t6,"lāf,",lāf,laf,f,heirloom,ns
455.t1,Wēlandes,Wēlandes,Weland,np,Weland,gs
455.t2,geweorc.,geweorc,geweorc,n,handiwork,ns
455.t3,Gǣð,Gǣð,gan,v,go,pr3s
455.t4,ā,ā,a,av,always,indeclinable
455.t5,wyrd,wyrd,wyrd,f,fate,ns
455.t6,swā,swā,swa,c,as,indeclinable
455.t7,hīo,hīo,heo,p,she,nsf
455.t8,scel.’,scel,sculan,v,must,pr3s
456.t1,Hrōðgār,Hrōðgār,Hroðgar,np,Hrothgar,ns
456.t2,"maþelode,",maþelode,maþelian,v,speak,p3s
456.t3,helm,helm,helm,m,protector,ns
456.t4,Scyldinga:,Scyldinga,Scyldingas,np,Scyldings,gp
457.t1,‘Fore,Fore,fore,pp,on account of,indeclinable
457.t2,"þū,",þū,þu,p,you,ns
457.t3,wine,wine,wine,m,friend,ns
457.t4,mīn,mīn,min,p,my,nsm
457.t5,"Bēowulf,",Bēowulf,Beowulf,np,Beowulf,ns
458.t1,ond,ond,ond,c,and,indeclinable
458.t2,for,for,for,pp,for,indeclinable
458.t3,ārstafum,ārstafum,ar-stafas,m,favour,dp
458.t4,ūsic,ūsic,we,p,we,ap
458.t5,sōhtest.,sōhtest,secan,v,seek out,p2s
459.t1,Geslōh,Geslōh,geslean,v,bring about,p3s
459.t2,þīn,þīn,þin,p,your,nsm
459.t3,fæder,fæder,fæder,m,father,ns
459.t4,fǣhðe,fǣhðe,fæhð,f,feud,as
459.t5,mǣste;,mǣste,mæst,a,great,asfs
460.t1,wearþ,wearþ,weorðan,v,become (+to),p3s
460.t2,hē,hē,he,p,he,nsm
460.t3,Heaþolāfe,Heaþolāfe,Heaþolaf,np,Heatholaf,ds
460.t4,tō,tō,to,pp,(weorðan to),indeclinable
460.t5,handbonan,handbonan,hand-bana,m,slayer with the hand,ds
461.t1,mid,mid,mid,pp,among,indeclinable
461.t2,Wilfingum;,Wilfingum,Wylfingas,np,Wylfings,dp
461.t3,ðā,ðā,þa,av,then,indeclinable
461.t4,hine,hine,he,p,he,asm
461.t5,Wedera,Wedera,Wederas,np,Weders,gp
461.t6,cyn,cyn,cynn,n,race,ns
462.t1,for,for,for,pp,on account of,indeclinable
462.t2,herebrōgan,herebrōgan,here-broga,m,fear of armies,ds
462.t3,habban,habban,habban,v,keep,i
462.t4,ne,ne,ne,av,not,indeclinable
462.t5,mihte.,mihte,magan,v,could,p3s
463.t1,Þanon,Þanon,þonan,av,thence,indeclinable
463.t2,hē,hē,he,p,he,nsm
463.t3,gesōhte,gesōhte,gesecan,v,seek out,p3s
463.t4,Sūð-Dena,Sūð-Dena,Suð-Dene,np,South-Danes,gp
463.t5,folc,folc,folc,n,people,as
464.t1,ofer,ofer,ofer,pp,over,indeclinable
464.t2,ȳða,ȳða,yð,f,wave,gp
464.t3,"ġewealc,",ġewealc,gewealc,n,rolling,as
464.t4,Ār-Scyldinga;,Ār-Scyldinga,Ar-Scyldingas,np,Honour-Scyldings,gp
465.t1,ðā,ðā,þa,c,when,indeclinable
465.t2,ic,ic,ic,p,I,ns
465.t3,furþum,furþum,furþum,av,first,indeclinable
465.t4,wēold,wēold,wealdan,v,rule,p1s
465.t5,folce,folce,folc,n,people,ds
465.t6,Deniga,Deniga,Dene,np,Danes,gp
466.t1,ond,ond,ond,c,and,indeclinable
466.t2,on,on,on,pp,in,indeclinable
466.t3,geogoðe,geogoðe,geogoð,f,youth,ds
466.t4,hēold,hēold,healdan,v,hold,p1s
466.t5,ginne,ginne,gin,a,wide,asn
466.t6,"rīce,",rīce,rice,n,kingdom,as
467.t1,hordburh,hordburh,hord-burh,f,treasure-stronghold,as
467.t2,"hæleþa,",hæleþa,hæle,m,man,gp
467.t3,ðā,ðā,þa,c,now that,indeclinable
467.t4,wæs,wæs,wesan,v,be,p3s
467.t5,Heregār,Heregār,Heorogar,np,Heorogar,ns
467.t6,"dēad,",dēad,dead,a,dead,nsm
468.t1,mīn,mīn,min,p,my,nsm
468.t2,yldra,yldra,eald,a,elder,nsmc
468.t3,mǣg,mǣg,mæg,m,kinsman,ns
468.t4,"unlifigende,",unlifigende,unlifigende,a,not living,nsm
469.t1,bearn,bearn,bearn,n,son,ns
469.t2,Healfdenes;,Healfdenes,Healfdene,np,Healfdene,gs
469.t3,sē,sē,se,d,he,nsm
469.t4,wæs,wæs,wesan,v,be,p3s
469.t5,betera,betera,betera,a,better,nsmc
469.t6,ðonne,ðonne,þonne,c,than,indeclinable
469.t7,ic!,ic,ic,p,I,ns
470.t1,Siððan,Siððan,siððan,av,then,indeclinable
470.t2,þā,þā,seo,d,the,asf
470.t3,fǣhðe,fǣhðe,fæhð,f,feud,as
470.t4,fēo,fēo,feoh,n,payment,ds
470.t5,þingode:,þingode,þingian,v,settle,p1s
471.t1,sende,sende,sendan,v,send,p1s
471.t2,ic,ic,ic,p,I,ns
471.t3,Wylfingum,Wylfingum,Wylfingas,np,Wylfings,dp
471.t4,ofer,ofer,ofer,pp,over,indeclinable
471.t5,wæteres,wæteres,wæter,n,water,gs
471.t6,hrycg,hrycg,hrycg,m,back,as
472.t1,ealde,ealde,eald,a,old,apm
472.t2,mādmas;,mādmas,maððum,m,treasure,ap
472.t3,hē,hē,he,p,he,nsm
472.t4,mē,mē,ic,p,I,ds
472.t5,āþas,āþas,að,m,oath,ap
472.t6,swōr.,swōr,swerian,v,swear,p3s
473.t1,Sorh,Sorh,sorh,f,sorrow,ns
473.t2,is,is,beon,v,be,pr3s
473.t3,mē,mē,ic,p,I,ds
473.t4,tō,tō,to,pp,to,indeclinable
473.t5,secganne,secganne,secgan,v,say,if
473.t6,on,on,on,pp,in,indeclinable
473.t7,sefan,sefan,sefa,m,heart,ds
473.t8,mīnum,mīnum,min,p,my,dsm
474.t1,gumena,gumena,guma,m,man,gp
474.t2,ǣngum,ǣngum,ænig,p,any,dsm
474.t3,hwæt,hwæt,hwæt,p,what sort,asn
474.t4,mē,mē,ic,p,I,ds
474.t5,Grendel,Grendel,Grendel,np,Grendel,ns
474.t6,hafað,hafað,habban,v,have,pr3s
475.t1,hȳnðo,hȳnðo,hynðu,f,humiliation,gp
475.t2,on,on,on,pp,in,indeclinable
475.t3,Heorote,Heorote,Heorot,np,Heorot,ds
475.t4,mid,mid,mid,pp,with,indeclinable
475.t5,his,his,he,p,his,gsm
475.t6,"heteþancum,",heteþancum,hete-þanc,m,thought of hate,dp
476.t1,fǣrnīða,fǣrnīða,fær-nið,m,sudden attack,gp
476.t2,gefremed;,gefremed,gefremman,v,inflict,pp
476.t3,is,is,beon,v,be,pr3s
476.t4,mīn,mīn,min,p,my,nsn
476.t5,"fletwerod,",fletwerod,flet-werod,n,hall-troop,ns
477.t1,wīghēap,wīghēap,wig-heap,m,fighting-band,ns
477.t2,gewanod;,gewanod,wanian,v,dimisnish,pp
477.t3,hīe,hīe,hie,p,they,apm
477.t4,wyrd,wyrd,wyrd,f,fate,ns
477.t5,forswēop,forswēop,forswapan,v,sweep off,p3s
478.t1,on,on,on,pp,with,indeclinable
478.t2,Grendles,Grendles,Grendel,np,Grendel,gs
478.t3,gryre.,gryre,gryre,m,horror,as
478.t4,God,God,God,np,God,ns
478.t5,ēaþe,ēaþe,eaðe,av,easily,indeclinable
478.t6,mæg,mæg,magan,v,can,pr3s
479.t1,þone,þone,se,d,that,asm
479.t2,dolsceaðan,dolsceaðan,dol-sceaða,m,rash foe,as
479.t3,dǣda,dǣda,dæd,f,deed,gp
479.t4,getwǣfan!,getwǣfan,getwæfan,v,hinder,i
480.t1,Ful,Ful,ful,av,very,indeclinable
480.t2,oft,oft,oft,av,often,indeclinable
480.t3,gebēotedon,gebēotedon,gebeotian,v,vow,p3p
480.t4,bēore,bēore,beor,n,beer,ds
480.t5,druncne,druncne,drincan,v,drink (=inebriated),ppnpm
481.t1,ofer,ofer,ofer,pp,over,indeclinable
481.t2,ealowǣġe,ealowǣġe,ealu-wæge,n,ale-cup,as
481.t3,ōretmecgas,ōretmecgas,oret-mæcg,m,warrior,np
482.t1,þæt,þæt,þæt,c,that,indeclinable
482.t2,hīe,hīe,hie,p,they,npm
482.t3,in,in,in,pp,in,indeclinable
482.t4,bēorsele,bēorsele,beor-sele,m,beer-hall,ds
482.t5,bīdan,bīdan,bidan,v,await,i
482.t6,woldon,woldon,willan,v,would,pc3p
483.t1,Grendles,Grendles,Grendel,np,Grendel,gs
483.t2,gūþe,gūþe,guð,f,battle,gs
483.t3,mid,mid,mid,pp,with,indeclinable
483.t4,gryrum,gryrum,gryre,m,terror,dp
483.t5,ecga.,ecga,ecg,f,blade,gp
484.t1,Ðonne,Ðonne,þonne,av,then,indeclinable
484.t2,wæs,wæs,wesan,v,be,p3s
484.t3,þeos,þeos,þeos,d,this,nsf
484.t4,medoheal,medoheal,medu-heall,f,mead-hall,ns
484.t5,on,on,on,pp,in,indeclinable
484.t6,"morgentīd,",morgentīd,morgen-tid,f,morning,as
485.t1,drihtsele,drihtsele,dryht-sele,m,splendid hall,ns
485.t2,drēorfāh,drēorfāh,dreor-fah,a,bloodstained,nsm
485.t3,þonne,þonne,þonne,c,when,indeclinable
485.t4,dæġ,dæġ,dæg,m,day,ns
485.t5,"līxte,",līxte,lixan,v,shine,p3s
486.t1,eal,eal,eall,a,all,npn
486.t2,bencþelu,bencþelu,benc-þel,n,bench-board,np
486.t3,blōde,blōde,blod,n,blood,ds
486.t4,"bestȳmed,",bestȳmed,bestyman,v,drench,ppnpn
487.t1,heall,heall,heall,f,hall,ns
487.t2,heorudrēore;,heorudrēore,heoro-dreor,m,sword-gore,ds
487.t3,āhte,āhte,agan,v,have,p1s
487.t4,iċ,iċ,ic,p,I,ns
487.t5,holdra,holdra,hold,a,loyal,gpm
487.t6,þȳ,þȳ,þæt,d,(because of) that,isn
487.t7,"lǣs,",lǣs,læs,n,fewer,as
488.t1,dēorre,dēorre,deore,a,beloved,gsf
488.t2,"duguðe,",duguðe,duguð,f,retinue,gs
488.t3,þē,þē,þe,c,because,indeclinable
488.t4,þā,þā,se,d,they,apm
488.t5,dēað,dēað,deað,m,death,ns
488.t6,fornam.,fornam,forniman,v,destroy,p3s
489.t1,Site,Site,sittan,v,sit down,im2s
489.t2,nū,nū,nu,av,now,indeclinable
489.t3,tō,tō,to,pp,to,indeclinable
489.t4,symle,symle,symbel,n,banquet,ds
489.t5,ond,ond,ond,c,and,indeclinable
489.t6,onsǣl,onsǣl,onsælan,v,disclose,im2s
489.t7,"meoto,",meoto,meotu,f,thought (?),ap
490.t1,sigehrēð,sigehrēð,sige-hreð,n,glory of victory,as
490.t2,"secgum,",secgum,secg,m,man,dp
490.t3,swā,swā,swa,c,as,indeclinable
490.t4,þīn,þīn,þin,p,your,nsm
490.t5,sefa,sefa,sefa,m,mind,ns
490.t6,hwette.’,hwette,hwettan,v,urge,prc3s
491.t1,Þā,Þā,þa,av,then,indeclinable
491.t2,wæs,wæs,wesan,v,be,p3s
491.t3,Gēatmæcgum,Gēatmæcgum,Geat-mæcgas,np,men of the Geats,dp
491.t4,geador ætsomne,geador ætsomne,geador ætsomne,av,all together,indeclinable
492.t1,on,on,on,pp,in,indeclinable
492.t2,bēorsele,bēorsele,beor-sele,m,beer-hall,ds
492.t3,benc,benc,benc,f,bench,ns
492.t4,gerȳmed;,gerȳmed,geryman,v,clear,pp
493.t1,þǣr,þǣr,þær,av,there,indeclinable
493.t2,swiðferhþe,swiðferhþe,swið-ferhð,a,strong-minded,npm
493.t3,sittan,sittan,sittan,v,sit down,i
493.t4,"ēodon,",ēodon,gan,v,go,p3p
494.t1,þrȳðum,þrȳðum,þryð,f,strength,dp
494.t2,dealle.,dealle,deall,a,exulting in,npm
494.t3,Þeġn,Þeġn,þegn,m,retainer,ns
494.t4,nytte,nytte,nytt,f,service,as
494.t5,"behēold,",behēold,behealdan,v,perform,p3s
495.t1,sē,sē,se,d,that,nsm
495.t2,þe,þe,þe,r,who,in
495.t3,on,on,on,pp,in,indeclinable
495.t4,handa,handa,hand,f,hand,ds
495.t5,bær,bær,beran,v,bear,p3s
495.t6,hroden,hroden,hroden,a,adorned,asn
495.t7,"ealowǣge,",ealowǣge,ealu-wæge,n,ale-cup,as
496.t1,scencte,scencte,scencan,v,pour,p3s
496.t2,scīr,scīr,scir,a,bright,asn
496.t3,wered.,wered,wered,n,sweet drink,as
496.t4,Scop,Scop,scop,m,poet,ns
496.t5,hwīlum,hwīlum,hwil,f,time (=at times),dp
496.t6,sang,sang,singan,v,sing,p3s
497.t1,hādor,hādor,hador,a,clear,nsm
497.t2,on,on,on,pp,in,indeclinable
497.t3,Heorote.,Heorote,Heorot,np,Heorot,ds
497.t4,Þǣr,Þǣr,þær,av,there,indeclinable
497.t5,wæs,wæs,wesan,v,be,p3s
497.t6,hæleða,hæleða,hæle,m,man,gp
497.t7,"drēam,",drēam,dream,m,joy,ns
498.t1,duguð,duguð,duguð,f,retinue,ns
498.t2,unlȳtel,unlȳtel,unlytel,a,no little,nsf
498.t3,Dena,Dena,Dene,np,Danes,gp
498.t4,ond,ond,ond,c,and,indeclinable
498.t5,Wedera.,Wedera,Wederas,np,Weders,gp
499.t1,Unferð,Unferð,Unferð,np,Unferth,ns
499.t2,"maþelode,",maþelode,maþelian,v,speak,p3s
499.t3,Ecglāfes,Ecglāfes,Ecglaf,np,Ecglaf,gs
499.t4,"bearn,",bearn,bearn,n,son,ns
500.t1,þē,þē,þe,r,who,in
500.t2,æt,æt,æt,pp,at,indeclinable
500.t3,fōtum,fōtum,fot,m,foot,dp
500.t4,sæt,sæt,sittan,v,sit,p3s
500.t5,frēan,frēan,frea,m,lord,ds
500.t6,"Scyldinga,",Scyldinga,Scyldingas,np,Scyldings,gp
501.t1,onband,onband,onbindan,v,unbind,p3s
501.t2,beadurūne.,beadurūne,beadu-run,f,battle-counsel,as
501.t3,Wæs,Wæs,wesan,v,be,p3s
501.t4,him,him,he,p,he,dsm
501.t5,Bēowulfes,Bēowulfes,Beowulf,np,Beowulf,gs
501.t6,"sīð,",sīð,sið,m,undertaking,ns
502.t1,mōdges,mōdges,modig,a,courageous,gsm
502.t2,"merefaran,",merefaran,mere-fara,m,seafarer,gs
502.t3,micel,micel,micel,a,greatr,nsm
502.t4,"æfþunca,",æfþunca,æfþanca,m,vexation,ns
503.t1,forþon þe,forþon þe,forðon þe,c,because,indeclinable
503.t2,hē,hē,he,p,he,nsm
503.t3,ne,ne,ne,av,not,indeclinable
503.t4,ūþe,ūþe,unnan,v,wish,p3s
503.t5,þæt,þæt,þæt,c,that,indeclinable
503.t6,ǣnig,ǣnig,ænig,p,any,nsm
503.t7,ōðer,ōðer,oþer,a,other,nsm
503.t8,man,man,monn,m,man,ns
